,AUC,OOB,TPR,TNR,PPV,NPV,FPR,FNR,FDR,ACC
CD33-CD45,0.65,0.24,0.23,0.87,0.38,0.81,0.13,0.77,0.62,0.74
CD33-CD58,0.51,0.27,0.15,0.88,0.25,0.8,0.12,0.85,0.75,0.73
CD33-CD66,0.62,0.28,0.22,0.88,0.44,0.81,0.12,0.78,0.56,0.74
CD33-IGM,0.59,0.29,0.28,0.94,0.58,0.84,0.06,0.72,0.42,0.81
CD33-cyCD3,0.58,0.3,0.15,0.85,0.17,0.79,0.15,0.85,0.83,0.71
CD33-cyMPO,0.65,0.27,0.33,0.88,0.42,0.84,0.12,0.67,0.58,0.77
CD33-cyTDT,0.79,0.28,0.35,0.86,0.38,0.84,0.14,0.65,0.62,0.75
CD34-CD38,0.66,0.27,0.15,0.9,0.32,0.8,0.1,0.85,0.68,0.75
CD34-CD45,0.59,0.28,0.2,0.9,0.46,0.81,0.1,0.8,0.54,0.76
CD34-CD58,0.7,0.29,0.28,0.85,0.35,0.82,0.15,0.72,0.65,0.73
CD34-CD66,0.61,0.3,0.1,0.93,0.22,0.8,0.07,0.9,0.78,0.76
CD34-IGM,0.6,0.29,0.15,0.87,0.21,0.8,0.13,0.85,0.79,0.72
CD34-cyCD3,0.64,0.26,0.37,0.87,0.41,0.84,0.13,0.63,0.59,0.77
CD34-cyMPO,0.75,0.25,0.42,0.9,0.52,0.86,0.1,0.58,0.48,0.8
CD34-cyTDT,0.59,0.32,0.15,0.91,0.37,0.8,0.09,0.85,0.63,0.76
CD38-CD45,0.64,0.22,0.27,0.89,0.49,0.82,0.11,0.73,0.51,0.76
CD38-CD58,0.67,0.26,0.42,0.91,0.62,0.86,0.09,0.58,0.38,0.81
CD38-CD66,0.55,0.3,0.13,0.9,0.23,0.8,0.1,0.87,0.77,0.74
CD38-IGM,0.53,0.27,0.2,0.9,0.33,0.81,0.1,0.8,0.67,0.76
CD38-cyCD3,0.47,0.33,0.07,0.89,0.2,0.78,0.11,0.93,0.8,0.72
CD38-cyMPO,0.69,0.24,0.22,0.93,0.59,0.82,0.07,0.78,0.41,0.78
CD38-cyTDT,0.73,0.24,0.35,0.88,0.39,0.84,0.12,0.65,0.61,0.77
CD45-CD58,0.63,0.27,0.28,0.83,0.3,0.82,0.17,0.72,0.7,0.72
CD45-CD66,0.64,0.24,0.25,0.9,0.46,0.82,0.1,0.75,0.54,0.77
CD45-IGM,0.58,0.27,0.22,0.89,0.47,0.81,0.11,0.78,0.53,0.75
CD45-cyCD3,0.6,0.31,0.08,0.92,0.2,0.79,0.08,0.92,0.8,0.75
CD45-cyMPO,0.73,0.25,0.3,0.83,0.28,0.82,0.17,0.7,0.72,0.72
CD45-cyTDT,0.64,0.25,0.3,0.89,0.4,0.83,0.11,0.7,0.6,0.77
CD58-CD66,0.69,0.26,0.35,0.85,0.39,0.84,0.15,0.65,0.61,0.74
CD58-IGM,0.64,0.24,0.17,0.93,0.36,0.81,0.07,0.83,0.64,0.77
CD58-cyCD3,0.48,0.31,0.02,0.85,0.02,0.76,0.15,0.98,0.98,0.68
CD58-cyMPO,0.7,0.29,0.2,0.86,0.26,0.81,0.14,0.8,0.74,0.72
CD58-cyTDT,0.69,0.25,0.3,0.86,0.38,0.83,0.14,0.7,0.62,0.74
CD66-IGM,0.49,0.3,0.08,0.87,0.14,0.78,0.13,0.92,0.86,0.71
CD66-cyCD3,0.51,0.31,0.18,0.9,0.39,0.81,0.1,0.82,0.61,0.75
CD66-cyMPO,0.73,0.24,0.45,0.9,0.65,0.87,0.1,0.55,0.35,0.81
CD66-cyTDT,0.5,0.31,0.05,0.88,0.06,0.78,0.12,0.95,0.94,0.71
IGM-cyCD3,0.6,0.3,0.17,0.91,0.28,0.81,0.09,0.83,0.72,0.76
IGM-cyMPO,0.76,0.24,0.37,0.9,0.56,0.85,0.1,0.63,0.44,0.79
IGM-cyTDT,0.53,0.26,0.18,0.92,0.44,0.81,0.08,0.82,0.56,0.77
cyCD3-cyMPO,0.72,0.24,0.2,0.9,0.36,0.81,0.1,0.8,0.64,0.75
cyCD3-cyTDT,0.63,0.29,0.17,0.9,0.42,0.8,0.1,0.83,0.58,0.75
cyMPO-cyTDT,0.65,0.27,0.2,0.93,0.47,0.82,0.07,0.8,0.53,0.78
